##v1.0##
FDN,SUBTYPE,PATHNAME,DOMAIN,DOMAINCORREL,MNEMONIC,INDICATOR,FORMULA,COMMITMENTVALUE,COMMITMENTTHRESHOLD,EXCEPTIONTHRESHOLD,INDICATORTHRESHOLDB,INDICATORTHRESHOLDT3,MEASUREPROTOCOL,COS,ORIGINSITENAME,ORIGINFDN,ORIGINIP,DESTINATIONSITENAME,ENDFDN,TARGETIP,CORRELATIONBACKUPTYPE,VPN,NETWORKFDN,ORIGIN,ADMINADDRESS,MANUFACTURER
DI:ATAC.ZI:X.LIEN_RNIS:1001-STD-365316,LIEN_RNIS,,ATAC,,SECOURS-NAS 1001 ANTONY RESID,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1001,10.43.209.36,,,9.9.9.9,0,,,,10.43.209.36,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1002-STD-378479,LIEN_RNIS,,ATAC,,SECOURS-NAS 1002 WISSEMBOURG,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1002,10.43.210.20,,,9.9.9.9,0,,,,10.43.210.20,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1003-STD-396605,LIEN_RNIS,,ATAC,,SECOURS-NAS 1003 STR CRONENB,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1003,10.42.237.228,,,9.9.9.9,0,,,,10.42.237.228,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1004-STD-384298,LIEN_RNIS,,ATAC,,SECOURS-NAS 1004 STR NEUDORF,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1004,10.42.237.180,,,9.9.9.9,0,,,,10.42.237.180,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1005-STD-388765,LIEN_RNIS,,ATAC,,SECOURS-NAS 1005 STR MONTAGNE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1005,10.42.237.184,,,9.9.9.9,0,,,,10.42.237.184,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1006-STD-438821,LIEN_RNIS,,ATAC,,SECOURS-NAS 1006 MEINAU,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1006,10.44.173.200,,,9.9.9.9,0,,,,10.44.173.200,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1009-STD-404519,LIEN_RNIS,,ATAC,,SECOURS-NAS 1009 STR EXPLANADE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1009,10.42.85.216,,,9.9.9.9,0,,,,10.42.85.216,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1010-STD-404328,LIEN_RNIS,,ATAC,,SECOURS-NAS 1010 STR PORTE FR,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1010,10.44.173.4,,,9.9.9.9,0,,,,10.44.173.4,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1011-STD-381097,LIEN_RNIS,,ATAC,,SECOURS-NAS 1011 HAGUENEAU,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1011,10.42.85.176,,,9.9.9.9,0,,,,10.42.85.176,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1015-STD-404768,LIEN_RNIS,,ATAC,,SECOURS-NAS 1015 STR ORANGERIE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1015,10.44.173.20,,,9.9.9.9,0,,,,10.44.173.20,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1018-STD-428568,LIEN_RNIS,,ATAC,,SECOURS-NAS 1018 FORBACH,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1018,10.43.237.44,,,9.9.9.9,0,,,,10.43.237.44,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1024-STD-388830,LIEN_RNIS,,ATAC,,SECOURS-NAS 1024 STR KLEBER,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1024,10.42.237.188,,,9.9.9.9,0,,,,10.42.237.188,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1025-STD-395258,LIEN_RNIS,,ATAC,,SECOURS-NAS 1025 STR HALLES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1025,10.42.237.192,,,9.9.9.9,0,,,,10.42.237.192,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1026-STD-439064,LIEN_RNIS,,ATAC,,SECOURS-NAS 1026 METZ PLANTIERES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1026,10.43.237.68,,,9.9.9.9,0,,,,10.43.237.68,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1027-STD-437044,LIEN_RNIS,,ATAC,,SECOURS-NAS 1027 ST AVERTIN,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1027,10.42.143.108,,,9.9.9.9,0,,,,10.42.143.108,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1028-STD-381635,LIEN_RNIS,,ATAC,,SECOURS-NAS 1028 OBERNAI,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1028,10.42.85.184,,,9.9.9.9,0,,,,10.42.85.184,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1031-STD-389330,LIEN_RNIS,,ATAC,,SECOURS-NAS 1031 STR KIENTZHEIM,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1031,10.42.85.200,,,9.9.9.9,0,,,,10.42.85.200,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1032-STD-384300,LIEN_RNIS,,ATAC,,SECOURS-NAS 1032 SAVERNE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1032,10.42.237.172,,,9.9.9.9,0,,,,10.42.237.172,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1033-STD-439279,LIEN_RNIS,,ATAC,,SECOURS-NAS 1033 THIONVILLE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1033,10.42.228.216,,,9.9.9.9,0,,,,10.42.228.216,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1034-STD-422623,LIEN_RNIS,,ATAC,,SECOURS-NAS 1034 COURNON DOMES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1034,10.43.186.228,,,9.9.9.9,0,,,,10.43.186.228,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1036-STD-406557,LIEN_RNIS,,ATAC,,SECOURS-NAS 1036 DORNACH,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1036,10.42.144.144,,,9.9.9.9,0,,,,10.42.144.144,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1038-STD-407777,LIEN_RNIS,,ATAC,,SECOURS-NAS 1038 COLMAR,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1038,10.42.144.152,,,9.9.9.9,0,,,,10.42.144.152,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1039-STD-432727,LIEN_RNIS,,ATAC,,SECOURS-NAS 1039 METZ ST JACQUES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1039,10.43.237.36,,,9.9.9.9,0,,,,10.43.237.36,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1041-STD-405148,LIEN_RNIS,,ATAC,,SECOURS-NAS 1041 HAGUENEAU CHATE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1041,10.44.173.36,,,9.9.9.9,0,,,,10.44.173.36,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1042-STD-428479,LIEN_RNIS,,ATAC,,SECOURS-NAS 1042 METZ WOIPPY,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1042,10.42.228.184,,,9.9.9.9,0,,,,10.42.228.184,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1043-STD-405528,LIEN_RNIS,,ATAC,,SECOURS-NAS 1043 ST LOUIS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1043,10.42.144.116,,,9.9.9.9,0,,,,10.42.144.116,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1153-STD-393576,LIEN_RNIS,,ATAC,,SECOURS-NAS 1153 PLAISIR,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1153,10.43.197.96,,,9.9.9.9,0,,,,10.43.197.96,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1154-STD-413581,LIEN_RNIS,,ATAC,,SECOURS-NAS 1154 CONFLANS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1154,10.43.206.116,,,9.9.9.9,0,,,,10.43.206.116,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1155-STD-423162,LIEN_RNIS,,ATAC,,SECOURS-NAS 1155 ROMAINVILLE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1155,10.43.88.236,,,9.9.9.9,0,,,,10.43.88.236,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1156-STD-444693,LIEN_RNIS,,ATAC,,SECOURS-NAS 1156 ST GAUDENS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1156,10.44.86.48,,,9.9.9.9,0,,,,10.44.86.48,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1158-STD-423124,LIEN_RNIS,,ATAC,,SECOURS-NAS 1158 CALUIRE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1158,10.44.85.64,,,9.9.9.9,0,,,,10.44.85.64,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1159-STD-407790,LIEN_RNIS,,ATAC,,SECOURS-NAS 1159 LYON GARIBALDI,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1159,10.43.212.192,,,9.9.9.9,0,,,,10.43.212.192,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1160-STD-414201,LIEN_RNIS,,ATAC,,SECOURS-NAS 1160 SARTROUVILLE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1160,10.43.206.76,,,9.9.9.9,0,,,,10.43.206.76,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1162-STD-447840,LIEN_RNIS,,ATAC,,SECOURS-NAS 1162 MILLAU,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1162,10.43.215.32,,,9.9.9.9,0,,,,10.43.215.32,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1163-STD-490636,LIEN_RNIS,,ATAC,,SECOURS-NAS 1163 MARSEIL BARNABE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1163,10.43.228.12,,,9.9.9.9,0,,,,10.43.228.12,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1164-STD-417390,LIEN_RNIS,,ATAC,,SECOURS-NAS 1164 MONTPELLIER,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1164,10.42.94.200,,,9.9.9.9,0,,,,10.42.94.200,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1166-STD-444770,LIEN_RNIS,,ATAC,,SECOURS-NAS 1166 APT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1166,10.42.130.212,,,9.9.9.9,0,,,,10.42.130.212,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1170-STD-422217,LIEN_RNIS,,ATAC,,SECOURS-NAS 1170 GRENOBLE PERROT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1170,10.43.113.72,,,9.9.9.9,0,,,,10.43.113.72,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1172-STD-417884,LIEN_RNIS,,ATAC,,SECOURS-NAS 1172 TASSIN,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1172,10.41.27.236,,,9.9.9.9,0,,,,10.41.27.236,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1173-STD-412809,LIEN_RNIS,,ATAC,,SECOURS-NAS 1173 LYON BUYER,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1173,10.42.108.248,,,9.9.9.9,0,,,,10.42.108.248,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1174-STD-409794,LIEN_RNIS,,ATAC,,SECOURS-NAS 1174 SAINTEFOY,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1174,10.43.234.48,,,9.9.9.9,0,,,,10.43.234.48,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1175-STD-409673,LIEN_RNIS,,ATAC,,SECOURS-NAS 1175 ETATSUNIS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1175,10.43.212.200,,,9.9.9.9,0,,,,10.43.212.200,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1176-STD-445384,LIEN_RNIS,,ATAC,,SECOURS-NAS 1176 TARARE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1176,10.44.192.168,,,9.9.9.9,0,,,,10.44.192.168,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1177-STD-432318,LIEN_RNIS,,ATAC,,SECOURS-NAS 1177 VILLEFRANCHE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1177,10.43.234.52,,,9.9.9.9,0,,,,10.43.234.52,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1178-STD-373301,LIEN_RNIS,,ATAC,,SECOURS-NAS 1178 EAUBONNE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1178,10.41.206.212,,,9.9.9.9,0,,,,10.41.206.212,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1179-STD-446072,LIEN_RNIS,,ATAC,,SECOURS-NAS 1179 ARRAS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1179,10.44.200.16,,,9.9.9.9,0,,,,10.44.200.16,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1180-STD-413585,LIEN_RNIS,,ATAC,,SECOURS-NAS 1180 MONTROUGE BRIAN,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1180,10.42.233.192,,,9.9.9.9,0,,,,10.42.233.192,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1181-STD-442544,LIEN_RNIS,,ATAC,,SECOURS-NAS 1181 ETAPLES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1181,10.44.200.12,,,9.9.9.9,0,,,,10.44.200.12,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1182-STD-447593,LIEN_RNIS,,ATAC,,SECOURS-NAS 1182 PERONNE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1182,10.42.150.52,,,9.9.9.9,0,,,,10.42.150.52,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1184-STD-437622,LIEN_RNIS,,ATAC,,SECOURS-NAS 1184 AULNOYE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1184,10.44.216.24,,,9.9.9.9,0,,,,10.44.216.24,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1185-STD-435112,LIEN_RNIS,,ATAC,,SECOURS-NAS 1185 STSAULVE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1185,10.44.177.80,,,9.9.9.9,0,,,,10.44.177.80,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1186-STD-436305,LIEN_RNIS,,ATAC,,SECOURS-NAS 1186 STQUENTIN,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1186,10.45.12.64,,,9.9.9.9,0,,,,10.45.12.64,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1187-STD-423446,LIEN_RNIS,,ATAC,,SECOURS-NAS 1187 LENS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1187,10.43.119.116,,,9.9.9.9,0,,,,10.43.119.116,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1189-STD-434881,LIEN_RNIS,,ATAC,,SECOURS-NAS 1189 FOURMIES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1189,10.43.196.220,,,9.9.9.9,0,,,,10.43.196.220,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1190-STD-436459,LIEN_RNIS,,ATAC,,SECOURS-NAS 1190 LINSELLES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1190,10.44.177.124,,,9.9.9.9,0,,,,10.44.177.124,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1192-STD-444690,LIEN_RNIS,,ATAC,,SECOURS-NAS 1192 CHANTILLY,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1192,10.43.249.100,,,9.9.9.9,0,,,,10.43.249.100,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1193-STD-442554,LIEN_RNIS,,ATAC,,SECOURS-NAS 1193 MONTDIDIER,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1193,10.42.150.44,,,9.9.9.9,0,,,,10.42.150.44,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1194-STD-444342,LIEN_RNIS,,ATAC,,SECOURS-NAS 1194 COMPIEGNE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1194,10.43.249.96,,,9.9.9.9,0,,,,10.43.249.96,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1195-STD-440067,LIEN_RNIS,,ATAC,,SECOURS-NAS 1195 AMIENS ROLLIN,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1195,10.42.150.40,,,9.9.9.9,0,,,,10.42.150.40,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1196-STD-447828,LIEN_RNIS,,ATAC,,SECOURS-NAS 1196 ALBERT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1196,10.42.150.64,,,9.9.9.9,0,,,,10.42.150.64,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1200-STD-393586,LIEN_RNIS,,ATAC,,SECOURS-NAS 1200 BDX CAUDERAN,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1200,10.43.254.96,,,9.9.9.9,0,,,,10.43.254.96,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1201-STD-413012,LIEN_RNIS,,ATAC,,SECOURS-NAS 1201 FRANCONVILLE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1201,10.44.11.52,,,9.9.9.9,0,,,,10.44.11.52,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1202-STD-424220,LIEN_RNIS,,ATAC,,SECOURS-NAS 1202 ERAGNY,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1202,10.44.11.60,,,9.9.9.9,0,,,,10.44.11.60,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1203-STD-433320,LIEN_RNIS,,ATAC,,SECOURS-NAS 1203 FERRIERES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1203,10.44.122.16,,,9.9.9.9,0,,,,10.44.122.16,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1208-STD-433270,LIEN_RNIS,,ATAC,,SECOURS-NAS 1208 NDDEGRAV,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1208,10.45.7.4,,,9.9.9.9,0,,,,10.45.7.4,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1044-STD-439304,LIEN_RNIS,,ATAC,,SECOURS-NAS 1044 SCHILTIGHEIM,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1044,10.44.173.204,,,9.9.9.9,0,,,,10.44.173.204,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1045-STD-432312,LIEN_RNIS,,ATAC,,SECOURS-NAS 1045 STR ROBERTSAU,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1045,10.44.173.192,,,9.9.9.9,0,,,,10.44.173.192,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1046-STD-439087,LIEN_RNIS,,ATAC,,SECOURS-NAS 1046 MERLEBACH,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1046,10.42.228.220,,,9.9.9.9,0,,,,10.42.228.220,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1048-STD-467611,LIEN_RNIS,,ATAC,,SECOURS-NAS 1048 AUCAMVILLE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1048,10.43.151.200,,,9.9.9.9,0,,,,10.43.151.200,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1051-STD-445821,LIEN_RNIS,,ATAC,,SECOURS-NAS 1051 TOURNEFEUILLE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1051,10.44.86.56,,,9.9.9.9,0,,,,10.44.86.56,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1053-STD-519519,LIEN_RNIS,,ATAC,,SECOURS-NAS 1053BLANQUEFORT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1053,10.43.254.60,,,9.9.9.9,0,,,,10.43.254.60,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1054-STD-413512,LIEN_RNIS,,ATAC,,SECOURS-NAS 1054 CHAMALIERES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1054,10.43.186.192,,,9.9.9.9,0,,,,10.43.186.192,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1056-STD-423377,LIEN_RNIS,,ATAC,,SECOURS-NAS 1056 ST PIERRE DCORP,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1056,10.42.143.100,,,9.9.9.9,0,,,,10.42.143.100,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1057-STD-392865,LIEN_RNIS,,ATAC,,SECOURS-NAS 1057 BDX COUNORD,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1057,10.42.69.248,,,9.9.9.9,0,,,,10.42.69.248,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1059-STD-443665,LIEN_RNIS,,ATAC,,SECOURS-NAS 1059 BOURGES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1059,10.43.100.96,,,9.9.9.9,0,,,,10.43.100.96,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1060-STD-386375,LIEN_RNIS,,ATAC,,SECOURS-NAS 1060 LOUVRES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1060,10.43.105.164,,,9.9.9.9,0,,,,10.43.105.164,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1061-STD-393583,LIEN_RNIS,,ATAC,,SECOURS-NAS 1061 BAGNEUX TURIN,RTD,,30000,,,30000,30000,IP,0,,DI:ATAC.ZI:X.RTCIS:1061,10.41.245.16,,,9.9.9.9,0,,,,10.41.245.16,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1062-STD-423153,LIEN_RNIS,,ATAC,,SECOURS-NAS 1062 CEBAZAT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1062,10.43.186.236,,,9.9.9.9,0,,,,10.43.186.236,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1063-STD-442614,LIEN_RNIS,,ATAC,,SECOURS-NAS 1063 ROANNE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1063,10.43.137.236,,,9.9.9.9,0,,,,10.43.137.236,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1064-STD-423629,LIEN_RNIS,,ATAC,,SECOURS-NAS 1064 MARINGUES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1064,10.43.186.244,,,9.9.9.9,0,,,,10.43.186.244,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1065-STD-413683,LIEN_RNIS,,ATAC,,SECOURS-NAS 1065 GANNAT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1065,10.43.198.52,,,9.9.9.9,0,,,,10.43.198.52,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1066-STD-427788,LIEN_RNIS,,ATAC,,SECOURS-NAS 1066 LA BOURBOULE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1066,10.43.186.248,,,9.9.9.9,0,,,,10.43.186.248,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1067-STD-416997,LIEN_RNIS,,ATAC,,SECOURS-NAS 1067 TOURS SANITAS,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1067,10.43.207.72,,,9.9.9.9,0,,,,10.43.207.72,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1069-STD-389107,LIEN_RNIS,,ATAC,,SECOURS-NAS 1069 PARIS BATIGNOL,RTD,,30000,,,30000,30000,IP,0,,DI:ATAC.ZI:X.RTCIS:1069,10.41.126.224,,,9.9.9.9,0,,,,10.41.126.224,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1070-STD-434823,LIEN_RNIS,,ATAC,,SECOURS-NAS 1070 VERNEUIL VERGER,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1070,10.43.206.100,,,9.9.9.9,0,,,,10.43.206.100,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1071-STD-422616,LIEN_RNIS,,ATAC,,SECOURS-NAS 1071 AUNEAU,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1071,10.44.201.8,,,9.9.9.9,0,,,,10.44.201.8,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1072-STD-381600,LIEN_RNIS,,ATAC,,SECOURS-NAS 1072 ST ARNOULT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1072,10.43.141.64,,,9.9.9.9,0,,,,10.43.141.64,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1073-STD-466974,LIEN_RNIS,,ATAC,,SECOURS-NAS 1073 HOUILLES,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1073,10.43.206.92,,,9.9.9.9,0,,,,10.43.206.92,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1076-STD-378046,LIEN_RNIS,,ATAC,,SECOURS-NAS 1076 BURES YVETTE,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1076,10.42.242.196,,,9.9.9.9,0,,,,10.42.242.196,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1078-STD-423345,LIEN_RNIS,,ATAC,,SECOURS-NAS 1078 BEAUMONT,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1078,10.43.186.216,,,9.9.9.9,0,,,,10.43.186.216,cisco
DI:ATAC.ZI:X.LIEN_RNIS:1079-STD-403698,LIEN_RNIS,,ATAC,,SECOURS-NAS 1079 RAMBOUILLET,RTD,,30000,,,30000,30000,,ip,,DI:ATAC.ZI:X.RTCIS:1079,10.43.197.104,,,9.9.9.9,0,,,,10.43.197.104,cisco
